"field_name","title","name","version","intent","description","data_publishing_system","ui_element","reference_files","edit_data_source_url","pages","tags","groups","contributors","topics","licenses","author","data_dictionary_type","data_dictionary","program_contact_email","public_access_level","rights","homepage","data_standard","language","related_content","metric","data_methodology","documentation_template","updated","data_attributes_/_options","calculations","datasets","ui_code_in_github","ui_tags","published","image","order"
"","Schools may reopen in these counties","schools-may-reopen","v1.0.0","","Which schools may reopen in which county. This WordPress data table provides two data sources. One for the counties
","[""Wordpress Data Table, published to covid-static""]","","","","","[""COVID-19"",""Schools""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","
","2021-03-17T01:08:00.000Z","","","schools-may-reopen, schools-may-reopen-in-these-counties.json","","[""Web component""]","","","3"
"","County regions","countyregions","v1.0.0","","Used for Regional Stay at Home Order (RSHO). Assignments of RSHO to California counties.
Used to be a spreadsheet, but now the data lives as JSON in github.","[""Wordpress Data Table, published to covid-static""]","","","","","[""COVID-19"",""Regional Stay at Home Order""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-17T01:08:00.000Z","","","countyregions","","[""Web component""]","","","3"
"","County status","countystatus","v1.0.0","","County Tier Status. Is updated weekly or as needed. A FaaS service runs with the script posted in ""Edit Data Source"" This script pulls data from Snowflake.","[""Wordpress Data Table, published to covid-static""]","","","","","[""COVID-19"",""Blueprint for a Safer Economy Tiers""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-17T01:08:00.000Z","","","countystatus","https://github.com/cagov/covid19/tree/master/src/js/roadmap","[""Web component""]","","","3"
"","Reopening Roadmap, Activity Business Search Data","covid19-activity-business-search-data","v2.0.0","","What's Open autocomplete search data & tier modifications.
","[""Airtable database, will be published to covid-static""]","","","","","[""COVID-19"",""State industry guidance"",""What's open search"",""Blueprint for a Safer Economy Tiers"",""Industry guidance""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-17T01:08:00.000Z","","","covid19-activity-business-search-data","","[""Web component""]","","","10"
"","COVID-19 County Webpages","covid19-county-webpage","v2.0.0","","Data source for county COVID-19 webpages.","[""Airtable database, will be published to covid-static""]","","","","","[""COVID-19"",""State industry guidance"",""What's open search"",""Blueprint for a Safer Economy Tiers"",""Industry guidance""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-17T01:08:00.000Z","","","covid19-county-webpage","","[""Web component""]","","","10"
"","COVID-19 State Industry Guidance Additional Resources","covid19-industry-guidance-additional-resources","v2.0.0","","Optional messages and additional links to files outside covid19.ca.gov guidance publishing system.","[""Airtable database, will be published to covid-static""]","","","","","[""COVID-19"",""State industry guidance"",""What's open search"",""Blueprint for a Safer Economy Tiers"",""Industry guidance""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-17T01:08:00.000Z","","","covid19-industry-guidance-additional-resources","","[""Web component""]","","","10"
"","COVID-19 Industry Guidance Categories","covid19-industry-guidance-categories","v2.0.0","","Industry Guidance categories and their publishing statuses. Used as a key for related guidance, file publishing and tracking.","[""Airtable database, will be published to covid-static""]","","","","","[""COVID-19"",""State industry guidance"",""What's open search"",""Blueprint for a Safer Economy Tiers"",""Industry guidance""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-17T01:08:00.000Z","","","covid19-industry-guidance-categories","","[""Web component""]","","","10"
"","covid19-industry-guidance-pdf-link","covid19-industry-guidance-pdf-links","v2.0.0","","Published State Guidance PDF files. Syncs from PDF History table after syncing with covid-static git log. covid-static git repo syncs to our static file server.","[""Airtable database, will be published to covid-static""]","","","","","[""COVID-19"",""State industry guidance"",""What's open search"",""Blueprint for a Safer Economy Tiers"",""Industry guidance""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-17T01:08:00.000Z","","","covid19-industry-guidance-pdf-links","","[""Web component""]","","","10"
"","covid19-language-keys","covid19-language-keys","v2.0.0","","Language & language codes used to tag state industry guidance.","[""Airtable database, will be published to covid-static""]","","","","","[""COVID-19"",""State industry guidance"",""What's open search"",""Blueprint for a Safer Economy Tiers"",""Industry guidance""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-17T01:08:00.000Z","","","covid19-language-keys","","[""Web component""]","","","10"
"","Related Guidance Metadata","covid19-related-guidance-metadata","v2.0.0","","Any optional messaging for a state industry guidance category.","[""Airtable database, will be published to covid-static""]","","","","","[""COVID-19"",""State industry guidance"",""What's open search"",""Blueprint for a Safer Economy Tiers"",""Industry guidance""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","","
","","2021-03-17T01:08:00.000Z","","","covid19-related-guidance-metadata","","[""Web component""]","","","10"
"","covid19-state-industry-guidance","covid19-state-industry-guidance","v2.0.0","Provide visibility, transparency and structured data for State Industry Guidance to make it easy for Californians to find the information they need to keep safe.
","A dataset aggregated from State Industry Guidance tables managed and edited in Airtable.","[""Airtable database, will be published to covid-static""]","","","","","[""COVID-19"",""State industry guidance"",""What's open search"",""Blueprint for a Safer Economy Tiers"",""Industry guidance""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-17T01:08:00.000Z","","","covid19-state-industry-guidance","","[""Web component""]","","","10"
"","Regions Closed","regionsclosed","v1.0.0","","County regions currently closed for Regional Stay at Home Order restrictions.","[""Wordpress Data Table, published to covid-static""]","","","","","[""COVID-19"",""Regional Stay at Home Order"",""Closures""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-17T01:08:00.000Z","","","regionsclosed","","[""Web component""]","","","3"
"","Reopening Activities","reopening-activities","v1.0.0","","A file generated by the 11ty build process that moves the reopening-roadmap-activity-data from Wordpress table data to the local docs file to be available to the statically generated site.","[""Wordpress Data Table, published to covid-static""]","","","","","[""COVID-19"",""Reopening Roadmap "",""Blueprint for a Safer Economy Tiers"",""What's open search"",""State industry guidance""]","","","[""COVID-19""]","","","","","","","","","","[""English""]","","","","","2021-03-17T01:08:00.000Z","","","reopening-activities","","[""Web component""]","","","3"
